q[nm-1]	rebin(sample_DPPC_0000_av_sub_rebin_rscld.txt_00001_[],1,0.0070)	error
4.93094774e-02	6.96520475e-02	5.99551607e-03
5.54746894e-02	8.24994955e-02	3.56898147e-03
6.16399015e-02	5.39226794e-02	2.77721387e-03
6.78051135e-02	4.59552127e-02	2.26474164e-03
7.39703256e-02	3.50618532e-02	1.89269588e-03
8.01355376e-02	3.11308042e-02	1.62641415e-03
8.63007496e-02	2.40727485e-02	1.41227139e-03
9.24659617e-02	1.87127999e-02	1.23919471e-03
9.86311737e-02	1.76415048e-02	1.10811603e-03
1.04796386e-01	1.59156444e-02	1.00008930e-03
1.10961598e-01	1.29900597e-02	9.12523411e-04
1.17126810e-01	1.19713164e-02	8.40039811e-04
1.23292022e-01	1.03146889e-02	7.77447719e-04
1.29457234e-01	8.77262623e-03	7.20679954e-04
1.35622446e-01	8.50672506e-03	6.71530619e-04
1.41787658e-01	6.57455979e-03	6.33982324e-04
1.47952870e-01	6.20636248e-03	6.04673937e-04
1.54118082e-01	6.26687725e-03	5.76628396e-04
1.60283294e-01	5.44884192e-03	5.49892584e-04
1.66448506e-01	5.19785426e-03	5.28143514e-04
1.72613718e-01	5.26540329e-03	5.10941732e-04
1.78778930e-01	5.16939475e-03	4.94149864e-04
1.84944142e-01	5.15169769e-03	4.77518464e-04
1.91109354e-01	4.68482542e-03	4.62344094e-04
1.97274566e-01	4.46680880e-03	4.48239628e-04
2.03439778e-01	4.55342945e-03	4.36160751e-04
2.09604991e-01	4.78675340e-03	4.25714502e-04
2.15770203e-01	4.61201740e-03	4.17058998e-04
2.21935415e-01	4.96266607e-03	4.10770794e-04
2.28100627e-01	5.20212845e-03	4.02182717e-04
2.34265839e-01	5.56650439e-03	3.93386502e-04
2.40431051e-01	5.81815839e-03	3.87922225e-04
2.46596263e-01	5.87044617e-03	3.81522434e-04
2.52761475e-01	6.38593002e-03	3.75161349e-04
2.58926687e-01	6.69222412e-03	3.70195216e-04
2.65091899e-01	7.19807954e-03	3.64594320e-04
2.71257111e-01	7.84565541e-03	3.59745519e-04
2.77422323e-01	8.22888242e-03	3.56746984e-04
2.83587535e-01	8.31493118e-03	3.52723794e-04
2.89752747e-01	8.81866033e-03	3.47400190e-04
2.95917959e-01	9.46697412e-03	3.43899261e-04
3.02083171e-01	9.83009998e-03	3.40675993e-04
3.08248383e-01	1.06565376e-02	3.36901679e-04
3.14413595e-01	1.05025225e-02	3.35054385e-04
3.20578807e-01	1.17535658e-02	3.33025216e-04
3.26744019e-01	1.24027065e-02	3.29693437e-04
3.32909231e-01	1.27475289e-02	3.29265587e-04
3.39074443e-01	1.32606664e-02	3.31953714e-04
3.45239655e-01	1.42203418e-02	3.34526512e-04
3.51404868e-01	1.45618017e-02	3.35517760e-04
3.57570080e-01	1.53075401e-02	3.35821240e-04
3.63735292e-01	1.58559858e-02	3.37704207e-04
3.69900504e-01	1.66240303e-02	3.39027461e-04
